index,name,score,dtm,text,app_name
17411,Joey Teng,1 顆星,2022年3月21日,為 什麼 一直 顯示 此 app 非自 官方 授權 之 商店 下載 ， 要 我 重新 在 play 商店 下載 ， 可是 我 重新 下載 後 還是 不能 用 。,永豐行動銀行
18225,孫翊翔,5 顆星,2023年12月30日,版面 簡易 明聊 ，,華南銀行+
8726,Rain Jeng,5 顆星,2022年2月18日,方便 快速 又 安全,中國信託行動銀行 Home Bank
12107,Huh-pyng Chu,5 顆星,2022年8月10日,簡單易 操作,富邦行動銀行
5484,古倫維,5 顆星,2023年5月23日,方便 訊速,中國信託行動銀行 Home Bank
9413,陳文峰,5 顆星,2024年1月23日,使用方便,富邦行動銀行
12097,鄭大哥,5 顆星,2022年8月12日,方便 又 好 用,富邦行動銀行
12780,恒嘉許,2 顆星,2022年3月2日,為何 不能 下載存 摺 明細 比如 pdf 檔,富邦行動銀行
6229,李湘琪,5 顆星,2022年11月15日,很 方便,中國信託行動銀行 Home Bank
26265,東方洬,5 顆星,2022年2月16日,非常 好用 的 app,Richart
29579,Ryan Wu,4 顆星,2022年11月22日,新開戶 輸入 邀請碼 pyj 可以 獲得 點唷 一點 等 於 一元 / / 現在 開戶 有 六萬元 內 高達 年息 . ％ ， 六萬 以上 有 . ％ … 刷卡 % 回饋 詳情 以官 網為準,將來銀行 NEXT BANK
22199,劉仲軒,1 顆星,2022年3月5日,一開 程式 就 一直 跳出 妥善 保存 截圖 的 通知 ， 點掉 又 一直 出現 ， 完全 無法 登入 使用 ， 爛死,合作金庫銀行
6663,林思佑,5 顆星,2022年8月25日,使用 簡單 ， 但 功能 可以 繼續 優化 當作 電子 支付 用,中國信託行動銀行 Home Bank
25830,Lupin Boris,5 顆星,2022年8月29日,方便 好用,Richart
26212,GFL,1 顆星,2022年3月12日,一直 載入 中 轉圈 無法 正常 開啟,Richart
20748,史萊姆陳,1 顆星,2022年7月22日,使用者 名稱 不能 包含 生日 等 資訊 ？ 別 的 銀行 都 可以 就 你 最特別 ？ 只是 名稱 而已 又 不是 沒有 其他 保護 機制 ？,玉山行動銀行
14151,Irin Hsu,1 顆星,2024年1月31日,一直 轉 圈圈 ， 不 知道 第幾次 無法 順利 更新 了,元大銀行 Yuanta Commercial Bank
17214,Gino Li,1 顆星,2022年11月13日,一直 收不到 簡訊 認證碼 ， 真夠 爛 的 ！,永豐行動銀行
21517,Milk tea,1 顆星,2021年11月11日,更新 完 後 ， app 光是 要 登入 完全 一直 轉圈 ， 等 了 一陣子 上面 的 讀 取條 也 沒 有動 ... 得 跳出 不 讓 他轉 ， 輸入 帳密 後 ， 進去點 了 任何 一個 選項 ， 就是 只有 卡住 的 讀 取條 也 沒動 ！ 去 電腦版 要查 即 時 刷卡 的 金額 也 找 不到 ， 這樣 真的 很麻煩 ， 無法 知道 戶頭 / 刷卡 目前 金額 多少 ... 是否 能 盡快 熱修 ？,玉山行動銀行
11586,Wang Evan,5 顆星,2023年4月6日,介面 簡潔,富邦行動銀行
28769,Max Chang,3 顆星,2024年3月29日,昨日 更新 ， 目前 無法 使用 ， 都 閃退 ， 重新 安裝 也 一樣 。,DBS digibank TW 星展行動銀行
30678,周欣鋒,4 顆星,2024年1月1日,我 資料 明明 輸入 都 正確 為 什麼 顯示 資料 錯誤,臺灣銀行-網路銀行隨身版
26163,Ellen Deng,2 顆星,2022年3月21日,一直 無法 更新,Richart
17764,葉博志,5 顆星,2021年7月15日,方便 好用,永豐行動銀行
3384,陳姿玲,5 顆星,2022年4月5日,ok,國泰世華網路銀行CUBE
6611,L H,5 顆星,2022年9月5日,使用 直接 又 方便,中國信託行動銀行 Home Bank
26172,賴信宏,2 顆星,2022年3月20日,無法 更新 ， 也 不能 用舊 的 ， 一直 要 我 更新,Richart
26831,Tasy Fan,5 顆星,2023年11月26日,新 app 好用,新光銀行
30203,Jië Yang,5 顆星,2023年9月4日,輸入 推薦 碼 ： cbdkh 一起 領 獎金 ！,樂天國際商業銀行
16568,黃啟洋,5 顆星,2023年9月27日,好,永豐行動銀行
19333,Lydia Lee,5 顆星,2024年1月21日,帳戶 各個 內容 ， 清楚 又 方便使用,玉山行動銀行
7430,n Edwi,5 顆星,2022年4月23日,好用,中國信託行動銀行 Home Bank
30653,莫問,5 顆星,2021年9月25日,速度 可以 稱 的 上亞洲 第一 完美 客戶 視訊 男 的 帥 親切 應變 能力 都 超越 五星 級 女 客服 溫柔 甜美 不嬌 說 話 聲音 清晰 一句 就 懂 帳戶 有 可疑 動作 信箱 會確 認手 機會 簡訊 告知 簡訊 信箱 未讀 取確 認高階 主管 來 電關 懷 提醒 完全 沒有 其它 間 銀行 的 高傲 嬌縱 ， 絕對 客戶 至上 。,樂天國際商業銀行
27122,黃秋奇,5 顆星,2023年11月24日,新 版本 好用 ， 使用 容易,新光銀行
9077,Alex Chao,5 顆星,2022年1月8日,迅速 通知 帳戶訊息 ， 唯 期盼 任何 支出 收入 都 能 通知 提醒 （ 例年 金 等 ）,中國信託行動銀行 Home Bank
13176,曾家艎,5 顆星,2021年11月15日,簡單明 瞭好 操作 ！,富邦行動銀行
25672,廖子勳,1 顆星,2022年12月6日,手機 號碼 轉帳 的 問題 到 現在 還是 沒有 處理,Richart
25895,TH S,1 顆星,2022年7月19日,利率 降低 就算 了 ， app 還 常常 更新 ， 而且 不 更新 就 不給 用 ， 要 領錢 還要 等 更新 完 才能 用 ， 超級 超級 超級 不 便民,Richart
13813,有風lin,1 顆星,2021年11月11日,叫 我 重新 更新 ， 然後無法 更新 所以 移除 後 ， 要 重新 下載 但 都 下載 不下 來 。 但 我 太太 的 手機 可以 下載 ， 這是 跟 手機 的 機型 有關 係 嗎 ？ 我 的 手機 是 華為 p ， 原本 未 更新 前 都 使用 好好 的 。 求救 都 無法 網路 匯款 。,兆豐銀行
29211,y chen,1 顆星,2021年5月14日,成 日 跳出 晝面,DBS digibank TW 星展行動銀行
23866,蕭同仁,2 顆星,2022年4月12日,明明 沒有 登入 ， 系統 顯示 登入 ， 重開機 仍然 一樣 ， 顯示 沒有 回應 。 。 。 甚至 到後來 把 我 的 指紋 登入 移 除掉 ， 很 擔心 是否 被 駭 ！,台新銀行行動銀行
134,kofz ti,4 顆星,2024年2月28日,覺得 koko ， 舊版 比 較 好 用 ， 有 交易 明細 ， 要 轉帳 ， 也 比 較 容易 操作 。 轉帳 需要 交易 碼 ， 系統 一直 在 忙碌 中 （ 急,國泰世華網路銀行CUBE
2975,心靈點滴,1 顆星,2022年6月9日,很爛 的 畫面 你們 自己 也 去 看 一下 你們 app 有 那家 顯示 “ 金額 “ 是 直立式 的 . 這樣 顯示 的,國泰世華網路銀行CUBE
5497,KC SUNG,5 顆星,2023年5月21日,使用者 界面 很 友善,中國信託行動銀行 Home Bank
28593,*•*愛麗兒,4 顆星,2022年2月16日,卡片 發送 失敗 從 新 改 了 住址 卻 沒 反應 、 也 不 知道 公司 方面 收到 消息 了 沒 ？,LINE Bank
29329,林依然,1 顆星,2023年9月8日,. 購物節 凌晨 維護 ， 真的 優秀,將來銀行 NEXT BANK
6927,陳建宏,1 顆星,2022年7月5日,今天 完全 無法 登入 ， 到底 是 在 搞 什麼 ？ 該 不是 要 倒閉 了 吧 ！,中國信託行動銀行 Home Bank
24196,王智弘（金乘五）,1 顆星,2022年1月21日,鎖了 網銀不給 登入 ， 強迫 來 更新 卻 又 不能 更新 ， 是 怎樣 ！ ！ 爛網 銀 ， 上班 時間 要 人 更新 怎匯款 啦 ！ 無理,台新銀行行動銀行
11449,林德祺,5 顆星,2023年5月11日,蠻 好 用 的,富邦行動銀行
3704,羅志汶,2 顆星,2022年2月24日,我要 買 一張 您 們 家 的 人壽險 。,國泰世華網路銀行CUBE
28777,Er Huang,1 顆星,2024年3月14日,最近 一直 閃退,DBS digibank TW 星展行動銀行
27525,dekatria G,1 顆星,2022年10月23日,/ / ： 觸控 範圍 被 功能 介面 通知 鈕 重 製 蓋 掉 啦 ， 在 更新 放上 來 前會 不會 檢查 啊 ！ 以下 常駐 ： 設計 簡陋 就算 了 ， 不同 帳戶 、 信用卡 、 不同 月份 的 明細 ， 全部 都 混 放在 一起 ， 我 還得 每個 月 等 信箱 看 ， 那 這個 軟體 有 什麼 意義 ？ 年初 反映 到現 在 一個 都 沒改 ！ 還有 一堆 不 知道 幹嘛 用 的 內 建互動 模塊 ， 超連結 ， 要不是 安全性 我 乾脆 用 網頁 版 就 好 了 。,新光銀行
8386,miki Life,2 顆星,2022年3月12日,為 什麼 已經 重新 安裝 了 app 打開還 一直 顯示 要 更新,中國信託行動銀行 Home Bank
7131,沈里軒,1 顆星,2022年6月7日,更新 之 後 真的 變 不好 用 沒辦法 在 app 上 找到 轉帳 之類 的 交易 明細 了 pdf 下載 下來 也 看不到 備 註 （ 我 都 會 註 記 這 筆 金 額 是 做 什 麼 的 ） 倒 是 更新 過後 ， 廣告 跟 你 們 的 業務項 目變 得 更 明顯 和 清楚 了 但是 基本功能 不好 用 ， 誰 還會 在意 那些 業務 啊 ！,中國信託行動銀行 Home Bank
25069,洪彬峰,1 顆星,2023年8月30日,更新 後 變得 很 難用 ， 是 那個 腦殘 設計 這種 介面 ， poco f 退出 後 會 一直 停留 在 登入 app 畫面 ， 爛東西 ！,Richart
17529,楊錦玲,5 顆星,2021年12月2日,讚 ！,永豐行動銀行
21124,Kitty Wang,3 顆星,2022年3月29日,突然 没 办法 进去 银行 了 sad but relieved face,玉山行動銀行
10446,Erasmus Z,1 顆星,2023年7月15日,要 我 更新 才能 進去 ， 結果 一直 死 循環 ， 一點 開啟 app 就 跳 到 play 要 我 更新 ， 但是 沒有 play 又 沒 有 可 更新 的 選項 就 只能 開啟 跟 解除 安裝 .... 點了 開啟 就 重 複 跳出 要 我 進到 play 更新 的 畫面 ..... 一直 在 重 複 ， 解除 安裝 重新 安裝 還是 一樣 .... 啥 爛東西 ？ ？ ？ ？,富邦行動銀行
22193,吳智珺,5 顆星,2022年3月14日,好用,合作金庫銀行
4339,李聖權,5 顆星,2024年3月23日,方便 ， 中獎率 高,中國信託行動銀行 Home Bank
7011,janet chi,1 顆星,2022年6月21日,從 早上 一直 無法 完成 更新 使用,中國信託行動銀行 Home Bank
29645,Eating Kuo,1 顆星,2022年10月6日,到底 要 不要 讓 人 申請 阿 ？ 一掃 證件 就 卡住 ， 根本 就 沒 辦法 申請,將來銀行 NEXT BANK
16651,洪麗雪,5 顆星,2023年8月7日,讚,永豐行動銀行
5086,陳小胖,1 顆星,2023年9月1日,很 好笑 ， 為 了 手機 設計 的 服務 ， 結果 有 問題 打 專線 ， 不服 務手機 ， 只能 用 有線 電話 ， 腦袋 裝什麼 ？,中國信託行動銀行 Home Bank
13393,黃治維,2 顆星,2023年8月2日,無法 更新 至 最新 版本,兆豐銀行
31041,Eric chung,1 顆星,2022年7月9日,跟樓 下 一樣 的 狀況 ， 說 登入 異常 ， 帳密 打 了 都 不 對,臺灣銀行-網路銀行隨身版
25199,黃珈溶,1 顆星,2023年8月9日,更新 完 一直 出現 停止 服務,Richart
5135,詹鳳娥,5 顆星,2023年8月21日,good,中國信託行動銀行 Home Bank
15498,vlad Kao,2 顆星,2022年8月22日,用到 現在 才 發現 帳務明 細內 居然 沒有 交易 記錄 的 時間 ， 對 帳時 真的 相當 不 方便 ， 希望 記錄 除了 日期 還能 加上 時間,第一銀行 第e行動
